Year,POS,Player,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD,Tar,YAC
2014,WR,Demaryius Thomas,Den,16,111,"1,619",14.59,101.2,86t,11,69,184,642
2014,WR,Julio Jones,Atl,15,104,"1,593",15.32,106.2,79,6,76,163,538
2014,WR,Matt Forte,Chi,16,102,808,7.92,50.5,56,4,28,130,788
2014,WR,Emmanuel Sanders,Den,16,101,"1,404",13.9,87.8,48,9,69,141,353
2014,WR,Golden Tate,Det,16,99,"1,331",13.44,83.2,73t,4,58,144,690
2014,WR,Jordy Nelson,GB,16,98,"1,519",15.5,94.9,80t,13,71,151,501
2014,WR,Julian Edelman,NE,14,92,972,10.57,69.4,69t,4,49,134,431
2014,WR,Randall Cobb,GB,16,91,"1,287",14.14,80.4,70t,12,71,127,584
2014,WR,Odell Beckham Jr.,NYG,12,91,"1,305",14.34,108.8,80t,12,57,130,486
2014,WR,Martellus Bennett,Chi,16,90,916,10.18,57.2,37,6,43,128,453
2014,WR,Dez Bryant,Dal,16,88,"1,320",15,82.5,68t,16,60,137,407
2014,WR,Jimmy Graham,NO,16,85,889,10.46,55.6,29,10,54,124,294
2014,WR,Andre Johnson,Hou,15,85,936,11.01,62.4,35,3,49,147,389
2014,WR,Alshon Jeffery,Chi,16,85,"1,133",13.33,70.8,74,10,60,145,466
2014,WR,Jeremy Maclin,Phi,16,85,"1,318",15.51,82.4,72,10,56,143,496
2014,WR,Jarvis Landry,Mia,16,84,758,9.02,47.4,25,5,48,112,438
2014,WR,Greg Olsen,Car,16,84,"1,008",12,63,38,6,56,123,338
2014,WR,Le'Veon Bell,Pit,16,83,854,10.29,53.4,48,3,41,105,816
2014,WR,Anquan Boldin,SF,16,83,"1,062",12.8,66.4,76t,5,56,131,400
2014,WR,Rob Gronkowski,NE,15,82,"1,124",13.71,74.9,46t,12,60,131,458
2014,WR,T.Y. Hilton,Ind,15,82,"1,345",16.4,89.7,73t,7,63,131,370
2014,WR,Roddy White,Atl,14,80,921,11.51,65.8,39,7,54,125,182
2014,WR,Steve Smith,Bal,16,79,"1,065",13.48,66.6,80t,6,45,134,363
2014,WR,Keenan Allen,SD,14,77,783,10.17,55.9,35,4,41,121,304
2014,WR,DeAndre Hopkins,Hou,16,76,"1,210",15.92,75.6,76t,6,57,127,373
2014,WR,Brandon LaFell,NE,16,74,953,12.88,59.6,56t,7,50,119,368
2014,WR,Eric Decker,NYJ,15,74,962,13,64.1,74t,5,47,115,322
2014,WR,James Jones,Oak,16,73,666,9.12,41.6,42,6,40,112,217
2014,WR,Kelvin Benjamin,Car,16,73,"1,008",13.81,63,51,9,51,145,160
2014,WR,Rueben Randle,NYG,16,71,938,13.21,58.6,49,3,48,127,232
2014,WR,Calvin Johnson,Det,13,71,"1,077",15.17,82.8,67t,8,59,128,229
2014,WR,Vincent Jackson,TB,16,70,"1,002",14.31,62.6,50,2,50,142,140
2014,WR,Antonio Gates,SD,16,69,821,11.9,51.3,34,12,44,98,251
2014,WR,A.J. Green,Cin,13,69,"1,041",15.09,80.1,81t,6,46,116,314
2014,WR,Michael Crabtree,SF,16,68,698,10.26,43.6,51,4,35,108,258
2014,WR,Pierre Garcon,Was,16,68,752,11.06,47,70t,3,32,105,341
2014,WR,Mike Evans,TB,15,68,"1,051",15.46,70.1,56t,12,45,123,173
2014,WR,Travis Kelce,KC,16,67,862,12.87,53.9,34,5,45,87,479
2014,WR,Mike Wallace,Mia,16,67,862,12.87,53.9,50,10,47,115,235
2014,WR,Jordan Matthews,Phi,16,67,872,13.01,54.5,44t,8,42,103,387
2014,WR,Fred Jackson,Buf,14,66,501,7.59,35.8,34,1,25,90,581
2014,WR,Heath Miller,Pit,16,66,761,11.53,47.6,49,3,42,91,325
2014,WR,Doug Baldwin,Sea,16,66,825,12.5,51.6,49,3,42,98,338
2014,WR,Robert Woods,Buf,16,65,699,10.75,43.7,37,5,35,104,198
2014,WR,Sammy Watkins,Buf,16,65,982,15.11,61.4,84,6,47,128,344
2014,WR,Jason Witten,Dal,16,64,703,10.98,43.9,34,5,48,90,229
2014,WR,Reggie Wayne,Ind,15,64,779,12.17,51.9,80,2,40,116,273
2014,WR,Larry Donnell,NYG,16,63,623,9.89,38.9,32,6,36,92,214
2014,WR,Larry Fitzgerald,Ari,14,63,784,12.44,56,80t,2,39,104,333
2014,WR,Andrew Hawkins,Cle,15,63,824,13.08,54.9,65,2,44,112,396
2014,WR,Delanie Walker,Ten,15,63,890,14.13,59.3,68,4,34,106,408
2014,WR,Kenny Stills,NO,15,63,931,14.78,62.1,69t,3,47,84,188
2014,WR,Jermaine Gresham,Cin,15,62,460,7.42,30.7,23,5,24,79,254
2014,WR,Eddie Royal,SD,16,62,778,12.55,48.6,47t,7,39,91,360
2014,WR,Brandon Marshall,Chi,13,61,721,11.82,55.5,47,8,41,106,224
2014,WR,Dwayne Bowe,KC,15,60,754,12.57,50.3,37,0,42,95,228
2014,WR,Greg Jennings,Min,16,59,742,12.58,46.4,38,6,40,92,197
2014,WR,Marques Colston,NO,16,59,902,15.29,56.4,57,5,45,99,295
2014,WR,Mychal Rivera,Oak,16,58,534,9.21,33.4,33,4,29,99,171
2014,WR,Charles Clay,Mia,14,58,605,10.43,43.2,41,3,31,84,257
2014,WR,Zach Ertz,Phi,16,58,702,12.1,43.9,35t,3,42,89,225
2014,WR,DeMarco Murray,Dal,16,57,416,7.3,26,34,0,16,64,497
2014,WR,Kendall Wright,Ten,14,57,715,12.54,51.1,48,6,33,93,365
2014,WR,Mohamed Sanu,Cin,16,56,790,14.11,49.4,76t,5,37,98,322
2014,WR,DeSean Jackson,Was,15,56,"1,169",20.88,77.9,81t,6,35,95,470
2014,WR,Riley Cooper,Phi,16,55,577,10.49,36.1,50,3,25,95,153
2014,WR,Brandin Cooks,NO,10,53,550,10.38,55,50t,3,25,69,170
2014,WR,Cecil Shorts,Jax,13,53,557,10.51,42.8,53,1,26,110,259
2014,WR,Markus Wheaton,Pit,16,53,644,12.15,40.2,47t,2,33,86,157
2014,WR,Shane Vereen,NE,16,52,447,8.6,27.9,49t,3,24,77,383
2014,WR,Jared Cook,Stl,16,52,634,12.19,39.6,59t,3,32,99,263
2014,WR,Malcom Floyd,SD,16,52,856,16.46,53.5,59,6,39,92,124
