Year,POS,Player,Team,Num,Yds,Avg,FC,Lg,TD
2013,KR,Josh Morgan,Was,12,239,19.92,0,25,0
2013,KR,David Wilson,NYG,9,222,24.67,0,31,0
2013,KR,Greg Jenkins,Oak,10,221,22.1,0,29,0
2013,KR,Josh Boyce,NE,9,214,23.78,0,41,0
2013,KR,Edmond Gates,NYJ,9,209,23.22,0,36,0
2013,KR,Brandon Boykin,Phi,9,205,22.78,0,41,0
2013,KR,Deonte Thompson,Bal,7,201,28.71,0,47,0
2013,KR,Nick Williams,Was,9,188,20.89,0,29,0
2013,KR,Robert Turbin,Sea,8,177,22.12,0,27,0
2013,KR,Lavelle Hawkins,SD,8,176,22,0,27,0
2013,KR,Antonio Cromartie,NYJ,6,164,27.33,0,41,0
2013,KR,Bobby Rainey,TB,7,162,23.14,0,33,0
2013,KR,Chris Thompson,Was,8,160,20,0,28,0
2013,KR,Dennis Johnson,Hou,6,151,25.17,0,32,0
2013,KR,Greg Little,Cle,7,151,21.57,0,30,0
2013,KR,Travis Benjamin,Cle,3,146,48.67,0,86,0
2013,KR,Cassius Vaughn,Ind,5,142,28.4,0,33,0
2013,KR,Terrance Williams,Dal,6,142,23.67,0,32,0
2013,KR,Andre Caldwell,Den,6,141,23.5,0,34,0
2013,KR,Isaiah Pead,Stl,5,138,27.6,0,31,0
2013,KR,Kyle Williams,SF,7,134,19.14,0,35,0
2013,KR,Devin McCourty,NE,7,132,18.86,0,27,0
2013,KR,Chris Rainey,Ind,6,131,21.83,0,27,0
2013,KR,Damian Williams,Ten,5,123,24.6,0,37,0
2013,KR,Ronnie Brown,SD,6,113,18.83,0,28,0
2013,KR,Brad Smith,Phi,4,106,26.5,0,47,0
2013,KR,Toby Gerhart,Min,7,106,15.14,0,20,0
2013,KR,Deji Karim,Hou,5,104,20.8,0,31,0
2013,KR,Anthony Dixon,SF,5,101,20.2,0,47,0
2013,KR,Stephen Burton,Jax,4,99,24.75,0,32,0
2013,KR,Jeremy Stewart,Oak,5,95,19,0,28,0
2013,KR,Devon Wylie,Ten,5,94,18.8,0,23,0
2013,KR,Jeff Demps,TB,4,93,23.25,0,29,0
2013,KR,Jonathan Dwyer,Pit,4,90,22.5,0,27,0
2013,KR,Denard Robinson,Jax,4,88,22,0,27,0
2013,KR,Marcus Easley,Buf,4,83,20.75,0,28,0
2013,KR,Perrish Cox,SF,3,82,27.33,0,30,0
2013,KR,Johnathan Franklin,GB,4,82,20.5,0,26,0
2013,KR,Joseph Anderson,Chi,5,82,16.4,0,21,0
2013,KR,Kendall Hunter,SF,4,81,20.25,0,30,0
2013,KR,Ace Sanders,Jax,3,75,25,0,31,0
2013,KR,Skye Dawson,TB,3,67,22.33,0,25,0
2013,KR,Shane Vereen,NE,3,66,22,0,24,0
2013,KR,Cedric Peerman,Cin,4,66,16.5,1,26,0
2013,KR,Kerry Taylor,Jax,2,60,30,0,43,0
2013,KR,Percy Harvin,Sea,1,58,58,0,58,0
2013,KR,Doug Baldwin,Sea,2,57,28.5,0,37,0
2013,KR,LaVon Brazill,Ind,3,57,19,0,21,0
2013,KR,Golden Tate,Sea,3,57,19,0,24,0
2013,KR,Eric Weems,Chi,5,57,11.4,0,19,0
2013,KR,Shaun Draughn,Bal,2,53,26.5,0,31,0
2013,KR,Jeremy Lane,Sea,2,47,23.5,0,25,0
2013,KR,Omar Bolden,Den,2,44,22,0,25,0
2013,KR,Antone Smith,Atl,0,40,0,0,40,0
2013,KR,Doug Martin,TB,1,40,40,0,40,0
2013,KR,John Kuhn,GB,2,40,20,0,21,0
2013,KR,Markus Wheaton,Pit,2,37,18.5,0,25,0
2013,KR,Michael Ford,Chi,5,37,7.4,0,11,0
2013,KR,Kyle Bosworth,Dal,2,29,14.5,0,16,0
2013,KR,Tashard Choice,Ind,1,28,28,0,28,0
2012,KR,David Wilson,NYG,57,"1,533",26.89,0,97t,1
2012,KR,Darius Reynaud,Ten,53,"1,240",23.4,0,105t,1
2012,KR,Joshua Cribbs,Cle,43,"1,178",27.4,0,74,0
2012,KR,Jacoby Jones,Bal,38,"1,167",30.71,0,108t,2
2012,KR,Joe McKnight,NYJ,39,"1,072",27.49,0,100t,1
2012,KR,Marcus Thigpen,Mia,38,"1,040",27.37,0,96t,1
2012,KR,Brandon Boykin,Phi,45,"1,037",23.04,0,44,0
2012,KR,Chris Rainey,Pit,39,"1,035",26.54,0,68,0
2012,KR,Randall Cobb,GB,38,964,25.37,0,46,0
2012,KR,Brandon Tate,Cin,32,795,24.84,0,45,0
2012,KR,Leon Washington,Sea,27,784,29.04,0,98t,1
2012,KR,Keshawn Martin,Hou,31,741,23.9,0,54,0
2012,KR,Travaris Cadet,NO,26,690,26.54,0,75,0
2012,KR,Devin McCourty,NE,27,654,24.22,0,104t,1
2012,KR,Devin Hester,Chi,24,621,25.88,0,40,0
2012,KR,Stefan Logan,Det,28,597,21.32,0,40,0
2012,KR,Jacquizz Rodgers,Atl,23,592,25.74,0,77,0
2012,KR,Percy Harvin,Min,16,574,35.88,0,105t,1
2012,KR,Trindon Holliday,Hou,21,552,26.29,0,105t,1
2012,KR,Chris Givens,Stl,23,539,23.43,0,48,0
2012,KR,Shaun Draughn,KC,23,537,23.35,0,41,0
2012,KR,Brandon Banks,Was,22,527,23.95,0,55,0
2012,KR,Leodis McKelvin,Buf,18,510,28.33,0,59,0
2012,KR,William Powell,Ari,21,507,24.14,0,65,0
2012,KR,Richard Goodman,SD,18,497,27.61,0,39,0
2012,KR,Brad Smith,Buf,18,496,27.56,0,89t,1
2012,KR,Darren Sproles,NO,18,483,26.83,0,48,0
2012,KR,Coye Francies,Oak,20,475,23.75,0,32,0
2012,KR,Marcus Sherels,Min,16,422,26.38,0,41,0
2012,KR,LaMichael James,SF,14,417,29.79,0,62,0
2012,KR,LaRod Stephens-Howling,Ari,18,405,22.5,0,38,0
2012,KR,Deonte Thompson,Bal,15,389,25.93,0,49,0
2012,KR,Micheal Spurlock,SD,16,375,23.44,0,99t,1
2012,KR,Mike Goodson,Oak,16,359,22.44,0,51,0
2012,KR,Kyle Williams,SF,13,353,27.15,0,94,0
2012,KR,Deji Karim,Ind,9,328,36.44,0,101t,1
2012,KR,Arrelious Benn,TB,13,306,23.54,0,55,0
2012,KR,Niles Paul,Was,13,283,21.77,0,48,0
2012,KR,Omar Bolden,Den,14,270,19.29,0,33,0
2012,KR,Lance Dunbar,Dal,12,261,21.75,0,44,0
2012,KR,Armanti Edwards,Car,12,260,21.67,0,35,0
2012,KR,Ted Ginn Jr.,SF,11,253,23,0,31,0
2012,KR,Rashad Jennings,Jax,10,241,24.1,0,29,0
2012,KR,Felix Jones,Dal,11,236,21.45,0,29,0
2012,KR,Jalen Parmele,Jax,10,233,23.3,0,38,0
2012,KR,Eric Weems,Chi,13,231,17.77,0,27,0
2012,KR,Kealoha Pilares,Car,9,216,24,0,28,0
2012,KR,Isaiah Pead,Stl,10,212,21.2,0,32,0
2012,KR,Dwayne Harris,Dal,11,210,19.09,0,29,0
2012,KR,Cassius Vaughn,Ind,10,209,20.9,0,40,0
2012,KR,Joe Adams,Car,9,208,23.11,0,31,0
2012,KR,Lavelle Hawkins,Ten,7,205,29.29,0,71,0
2012,KR,Devon Wylie,KC,9,191,21.22,0,26,0
2012,KR,Javier Arenas,KC,9,177,19.67,0,27,0
2012,KR,Kendall Hunter,SF,7,165,23.57,0,31,0
2012,KR,Bryce Brown,Phi,8,156,19.5,0,25,0
2012,KR,Edmond Gates,NYJ,5,144,28.8,0,47,0
2012,KR,Armond Smith,Car,6,131,21.83,0,26,0
2012,KR,Tom Zbikowski,Ind,6,123,20.5,0,34,0
2012,KR,Richard Murphy,Jax,5,118,23.6,0,32,0
2012,KR,T.Y. Hilton,Ind,7,118,16.86,0,26,0
2012,KR,Jordan Shipley,Jax,6,117,19.5,0,24,0
2012,KR,LeQuan Lewis,TB,5,106,21.2,0,33,0
2012,KR,Chris Carr,SD,5,102,20.4,0,26,0
2012,KR,Josh Bellamy,KC,5,101,20.2,0,27,0
2012,KR,Quan Cosby,Jax,5,99,19.8,0,32,0
2012,KR,Pierre Thomas,NO,5,91,18.2,0,38,0
2012,KR,Jeremy Ross,GB,3,86,28.67,0,44,0
2012,KR,Curtis Brinkley,SD,4,86,21.5,0,28,0
2012,KR,Roscoe Parrish,TB,4,86,21.5,0,25,0
2012,KR,Jordan Todman,Jax,4,78,19.5,0,24,0
2012,KR,Travis Benjamin,Cle,3,76,25.33,0,29,0
2012,KR,Marcus Easley,Buf,2,75,37.5,0,55,0
2012,KR,Joe Young,Ind,4,68,17,0,19,0
2012,KR,Keith Toston,Jax,3,65,21.67,0,25,0
2012,KR,Adam Jones,Cin,3,64,21.33,0,31,0
2012,KR,Josh Robinson,Min,3,61,20.33,0,24,0
2012,KR,Jerrel Jernigan,NYG,2,60,30,0,60,0
2012,KR,Anthony Allen,Bal,3,56,18.67,0,20,0
2012,KR,Justin Rogers,Buf,2,55,27.5,0,28,0
2012,KR,Matt Asiata,Min,3,55,18.33,0,22,0
2012,KR,Michael Smith,TB,3,55,18.33,0,23,0
