Team,Year,Season,Week,Opponent,Outcome,Score,Points For,Points Against,Margin of Victory,Opponent Name,Real Opponent Name,
The Black Shepherd,2016,6,7,avatar The People's Champ,Loss,69.74 - 123.98,69.74 ,123.98,-54.24,The People's Champ,The People's Champ,
The Black Shepherd,2016,6,8,avatar Commissioner Gordon,Win,140.18 - 130.30,140.18,130.30,9.88,Commissioner Gordon,Commissioner Gordon,
The Black Shepherd,2016,6,9,avatar Black Mass,Loss,85.38 - 90.46,85.38 , 90.46,-5.08,Black Mass,Black Mass,
The Black Shepherd,2016,6,10,avatar Dune Squad,Loss,78.34 - 88.62,78.34 , 88.62,-10.28,Dune Squad,Dune Squad,
The Black Shepherd,2016,6,11,avatar GhostingTheLombardi,Win,109.38 - 107.34,109.38,107.34,2.04,GhostingTheLombardi,GhostingTheLombardi,
The Black Shepherd,2016,6,12,avatar Milk Man,Loss,106.26 - 132.56,106.26,132.56,-26.3,Milk Man,Milk Man,
The Black Shepherd,2016,6,13,avatar Poppy's Champions,Loss,91.80 - 116.90,91.80 ,116.90,-25.1,Poppy's Champions,Poppy's Champions,
The Mighty Albatross,2016,6,1,avatar GhostingTheLombardi,Loss,93.04 - 124.56,93.04 ,124.56,-31.52,GhostingTheLombardi,GhostingTheLombardi,
The Mighty Albatross,2016,6,2,avatar Milk Man,Win,134.60 - 108.92,134.60,108.92,25.68,Milk Man,Milk Man,
The Mighty Albatross,2016,6,3,avatar Poppy's Champions,Win,123.54 - 101.48,123.54,101.48,22.06,Poppy's Champions,Poppy's Champions,
The Mighty Albatross,2016,6,4,avatar richard,Loss,83.02 - 120.12,83.02 ,120.12,-37.1,richard,richard,
The Mighty Albatross,2016,6,5,avatar Surace,Win,116.40 - 99.66,116.40, 99.66,16.74,Surace,Surace,
The Mighty Albatross,2016,6,6,avatar The Black Shepherd,Win,88.80 - 63.52,88.80 , 63.52,25.28,The Black Shepherd,The Black Shepherd,
The Mighty Albatross,2016,6,7,avatar The Wolf of Greek St,Loss,62.44 - 132.84,62.44 ,132.84,-70.4,The Wolf of Greek St,The Wolf of Greek St,
The Mighty Albatross,2016,6,8,avatar The People's Champ,Loss,72.90 - 112.40,72.90 ,112.40,-39.5,The People's Champ,The People's Champ,
The Mighty Albatross,2016,6,9,avatar Commissioner Gordon,Win,121.46 - 113.82,121.46,113.82,7.64,Commissioner Gordon,Commissioner Gordon,
The Mighty Albatross,2016,6,10,avatar Black Mass,Win,113.28 - 111.04,113.28,111.04,2.24,Black Mass,Black Mass,
The Mighty Albatross,2016,6,11,avatar Dune Squad,Loss,94.80 - 98.28,94.80 , 98.28,-3.48,Dune Squad,Dune Squad,
The Mighty Albatross,2016,6,12,avatar GhostingTheLombardi,Win,104.04 - 91.12,104.04, 91.12,12.92,GhostingTheLombardi,GhostingTheLombardi,
The Mighty Albatross,2016,6,13,avatar Milk Man,Loss,94.08 - 123.70,94.08 ,123.70,-29.62,Milk Man,Milk Man,
The People's Champ,2016,6,1,avatar Dune Squad,Win,122.50 - 122.00,122.50,122.00,0.5,Dune Squad,Dune Squad,
The People's Champ,2016,6,2,avatar GhostingTheLombardi,Loss,87.10 - 110.12,87.10 ,110.12,-23.02,GhostingTheLombardi,GhostingTheLombardi,
The People's Champ,2016,6,3,avatar Milk Man,Loss,75.10 - 144.40,75.10 ,144.40,-69.3,Milk Man,Milk Man,
The People's Champ,2016,6,4,avatar Poppy's Champions,Loss,80.14 - 87.80,80.14 , 87.80,-7.66,Poppy's Champions,Poppy's Champions,
The People's Champ,2016,6,5,avatar richard,Win,112.34 - 72.50,112.34, 72.50,39.84,richard,richard,
The People's Champ,2016,6,6,avatar Surace,Win,117.04 - 110.70,117.04,110.70,6.34,Surace,Surace,
The People's Champ,2016,6,7,avatar The Black Shepherd,Win,123.98 - 69.74,123.98, 69.74,54.24,The Black Shepherd,The Black Shepherd,
The People's Champ,2016,6,8,avatar The Mighty Albatross,Win,112.40 - 72.90,112.40, 72.90,39.5,The Mighty Albatross,The Mighty Albatross,
The People's Champ,2016,6,9,avatar The Wolf of Greek St,Loss,95.82 - 129.76,95.82 ,129.76,-33.94,The Wolf of Greek St,The Wolf of Greek St,
The People's Champ,2016,6,10,avatar Commissioner Gordon,Loss,92.94 - 184.72,92.94 ,184.72,-91.78,Commissioner Gordon,Commissioner Gordon,
The People's Champ,2016,6,11,avatar Black Mass,Win,114.20 - 95.30,114.20, 95.30,18.9,Black Mass,Black Mass,
The People's Champ,2016,6,12,avatar Dune Squad,Win,92.24 - 68.04,92.24 , 68.04,24.2,Dune Squad,Dune Squad,
The People's Champ,2016,6,13,avatar GhostingTheLombardi,Loss,98.66 - 102.76,98.66 ,102.76,-4.1,GhostingTheLombardi,GhostingTheLombardi,
The Wolf of Greek St,2016,6,1,avatar richard,Win,116.70 - 109.82,116.70,109.82,6.88,richard,richard,
The Wolf of Greek St,2016,6,2,avatar Black Mass,Win,113.16 - 96.06,113.16, 96.06,17.1,Black Mass,Black Mass,
The Wolf of Greek St,2016,6,3,avatar Surace,Loss,89.88 - 124.16,89.88 ,124.16,-34.28,Surace,Surace,
The Wolf of Greek St,2016,6,4,avatar Dune Squad,Win,150.40 - 92.96,150.40, 92.96,57.44,Dune Squad,Dune Squad,
The Wolf of Greek St,2016,6,5,avatar The Black Shepherd,Loss,90.60 - 126.86,90.60 ,126.86,-36.26,The Black Shepherd,The Black Shepherd,
The Wolf of Greek St,2016,6,6,avatar GhostingTheLombardi,Loss,91.70 - 97.66,91.70 , 97.66,-5.96,GhostingTheLombardi,GhostingTheLombardi,
