Year,POS,Player,Team,Sack
2016,DEF,Adrian Amos,Chi,0
2016,DEF,Prince Amukamara,Jax,0
2016,DEF,Robby Anderson,NYJ,0
2016,DEF,Stephen Anderson,Hou,0
2016,DEF,Zaire Anderson,Den,0
2016,DEF,Colt Anderson,Buf,0
2016,DEF,Henry Anderson,Ind,0
2016,DEF,Jonathan Anderson,Chi,0
2016,DEF,Antonio Andrews,Ten,0
2016,DEF,Bryan Anger,TB,0
2016,DEF,Ezekiel Ansah,Det,2
2016,DEF,Stephone Anthony,NO,0
2016,DEF,Thurston Armbrister,Det,0
2016,DEF,Arik Armstead,SF,2.5
2016,DEF,Cameron Artis-Payne,Car,0
2016,DEF,Richard Ash,Dal,0
2016,DEF,Matt Asiata,Min,0
2016,DEF,Geno Atkins,Cin,9
2016,DEF,George Atkinson III,Cle,0
2016,DEF,Jeremiah Attaochu,SD,2
2016,DEF,Tavon Austin,LA,0
2016,DEF,Denico Autry,Oak,2.5
2016,DEF,Cliff Avril,Sea,11.5
2016,DEF,Robert Ayers,TB,6.5
2016,DEF,Jonathan Babineaux,Atl,0
2016,DEF,Allen Bailey,KC,0
2016,DEF,Alvin Bailey,Cle,0
2016,DEF,Dan Bailey,Dal,0
2016,DEF,Chris Baker,Was,3.5
2016,DEF,Marcus Ball,SF,0
2016,DEF,Chris Banjo,NO,0
2016,DEF,Johnthan Banks,Det,0
2016,DEF,Peyton Barber,TB,0
2016,DEF,Allen Barbre,Phi,0
2016,DEF,Matt Barkley,Chi,0
2016,DEF,T.J. Barnes,KC,0
2016,DEF,Adairius Barnes,Det,0
2016,DEF,Anthony Barr,Min,2
2016,DEF,Shaquil Barrett,Den,1.5
2016,DEF,Sam Barrington,NO,0
2016,DEF,Connor Barwin,Phi,5
2016,DEF,David Bass,Ten,0
2016,DEF,Houston Bates,Was,0
2016,DEF,Daren Bates,Oak,0
2016,DEF,De'Vante Bausby,Chi,0
2016,DEF,Zane Beadles,SF,0
2016,DEF,Vic Beasley,Atl,15.5
2016,DEF,Odell Beckham Jr.,NYG,0
2016,DEF,Blake Bell,SF,0
2016,DEF,Joique Bell,Det,0
2016,DEF,Le'Veon Bell,Pit,0
2016,DEF,Vonn Bell,NO,1
2016,DEF,Josh Bellamy,Chi,0
2016,DEF,Kelvin Benjamin,Car,0
2016,DEF,Travis Benjamin,SD,0
2016,DEF,Arrelious Benn,Jax,0
2016,DEF,Michael Bennett,Sea,5
2016,DEF,Joe Berger,Min,0
2016,DEF,Nat Berhe,NYG,0
2016,DEF,Giovani Bernard,Cin,0
2016,DEF,Brennen Beyer,Bal,0
2016,DEF,Kapri Bibbs,Den,0
2016,DEF,Freddie Bishop,NYJ,0
2016,DEF,Joel Bitonio,Cle,0
2016,DEF,Angelo Blackson,Ten,0
2016,DEF,Ronald Blair,SF,3
2016,DEF,Valentino Blake,Ten,0
2016,DEF,Robert Blanton,Buf,0
2016,DEF,Alfred Blue,Hou,0
2016,DEF,Brandon Bolden,NE,0
2016,DEF,Clint Boling,Cin,0
2016,DEF,Devontae Booker,Den,0
2016,DEF,Blake Bortles,Jax,0
2016,DEF,Joey Bosa,SD,10.5
2016,DEF,Matt Bosher,Atl,0
2016,DEF,Brandon Bostick,NYJ,0
2016,DEF,Chris Boswell,Pit,0
2016,DEF,Braedon Bowman,NYJ,0
2016,DEF,Tyler Boyd,Cin,0
2016,DEF,Nick Boyle,Bal,0
2016,DEF,Carl Bradford,SF,0
2016,DEF,Bryan Braman,Phi,0
2016,DEF,Tyvon Branch,Ari,0
2016,DEF,Alan Branch,NE,1.5
2016,DEF,Andre Branch,Mia,5.5
2016,DEF,Cameron Brate,TB,0
2016,DEF,Ben Braunecker,Chi,0
2016,DEF,Delvin Breaux,NO,0
2016,DEF,Drew Brees,NO,0
2016,DEF,Aaron Brewer,Ari,0
2016,DEF,Kentrell Brice,GB,0
2016,DEF,Beau Brinkley,Ten,0
2016,DEF,Kenny Britt,LA,0
2016,DEF,Michael Brockers,LA,0
2016,DEF,Jay Bromley,NYG,1
2016,DEF,Ahmad Brooks,SF,6
2016,DEF,Brandon Brooks,Phi,0
2016,DEF,Ron Brooks,Phi,0
2016,DEF,Kentrell Brothers,Min,0
2016,DEF,John Brown,Ari,0
2016,DEF,Malcom Brown,NE,3
2016,DEF,Mack Brown,Was,0
2016,DEF,Antonio Brown,Pit,0
2016,DEF,Malcolm Brown,LA,0
2016,DEF,Preston Brown,Buf,1
2016,DEF,Arthur Brown,Jax,0
2016,DEF,Philly Brown,Car,0
2016,DEF,Chykie Brown,Cin,0
2016,DEF,Sergio Brown,Buf,0
2016,DEF,Jaron Brown,Ari,0
2016,DEF,Jatavis Brown,SD,3.5
2016,DEF,David Bruton,Was,1
2016,DEF,Armonty Bryant,Det,3
2016,DEF,Christian Bryant,Ari,0
2016,DEF,Dez Bryant,Dal,0
2016,DEF,Corbin Bryant,Buf,0
2016,DEF,Deone Bucannon,Ari,0
2016,DEF,DeForest Buckner,SF,6
2016,DEF,Bryan Bulaga,GB,0
2016,DEF,Jonathan Bullard,Chi,1
2016,DEF,Randy Bullock,Cin,0
2016,DEF,Max Bullough,Hou,0
2016,DEF,Aaron Burbridge,SF,0
2016,DEF,Rex Burkhead,Cin,0
2016,DEF,Marcus Burley,Cle,0
2016,DEF,Michael Burton,Det,0
2016,DEF,Trey Burton,Phi,0
2016,DEF,Deon Bush,Chi,0
