Year,POS,Player,Team,Sack
2014,DEF,L.P. Ladouceur,Dal,0
2014,DEF,Brandon LaFell,NE,0
2014,DEF,Jarvis Landry,Mia,0
2014,DEF,LaRon Landry,Ind,2.5
2014,DEF,Dawan Landry,NYJ,1.5
2014,DEF,Jeremy Lane,Sea,0
2014,DEF,Kendall Langford,Stl,1
2014,DEF,Ellis Lankster,NYJ,0
2014,DEF,Ted Larsen,Ari,0
2014,DEF,DeDe Lattimore,Chi,0
2014,DEF,James Laurinaitis,Stl,3.5
2014,DEF,Shawn Lauvao,Was,0
2014,DEF,Cordarro Law,SD,1
2014,DEF,Cameron Lawrence,Dal,1
2014,DEF,Demarcus Lawrence,Dal,0
2014,DEF,Manny Lawson,Buf,1.5
2014,DEF,Nevin Lawson,Det,0
2014,DEF,Mike Leach,Ari,0
2014,DEF,Ronald Leary,Dal,0
2014,DEF,Marqise Lee,Jax,0
2014,DEF,Tim Lelito,NO,0
2014,DEF,Orie Lemon,TB,0
2014,DEF,Corey Lemonier,SF,0
2014,DEF,Brian Leonhardt,Oak,0
2014,DEF,Robert Lester,Car,0
2014,DEF,Anthony Levine,Bal,0
2014,DEF,Andrew Levitre,Ten,0
2014,DEF,Travis Lewis,Det,0
2014,DEF,Corey Linsley,GB,0
2014,DEF,Sean Lissemore,SD,1
2014,DEF,Corey Liuget,SD,4.5
2014,DEF,Brandon Lloyd,SF,0
2014,DEF,Ricardo Lockette,Sea,0
2014,DEF,Cullen Loeffler,Min,0
2014,DEF,Curtis Lofton,NO,0
2014,DEF,Bennie Logan,Phi,0
2014,DEF,Spencer Long,Was,0
2014,DEF,Kyle Long,Chi,0
2014,DEF,Chris Long,Stl,1
2014,DEF,Erik Lorig,NO,0
2014,DEF,Craig Loston,Jax,0
2014,DEF,Star Lotulelei,Car,2
2014,DEF,Lance Louis,Ind,0
2014,DEF,Al Louis-Jean,Chi,0
2014,DEF,Cornelius Lucas,Det,0
2014,DEF,Andrew Luck,Ind,0
2014,DEF,Ricky Lumpkin,Oak,1
2014,DEF,Aaron Lynch,SF,6
2014,DEF,Elbert Mack,Hou,0
2014,DEF,Khalil Mack,Oak,4
2014,DEF,Jeremy Maclin,Phi,0
2014,DEF,Brandon Magee,TB,0
2014,DEF,Kaluka Maiava,Oak,0
2014,DEF,Nick Mangold,NYJ,0
2014,DEF,Logan Mankins,TB,0
2014,DEF,Danieal Manning,Hou,0
2014,DEF,Peyton Manning,Den,0
2014,DEF,Stansly Maponga,Atl,1
2014,DEF,Chris Maragos,Phi,0
2014,DEF,Sen'Derrick Marks,Jax,8.5
2014,DEF,Cassius Marsh,Sea,0
2014,DEF,Brandon Marshall,Chi,0
2014,DEF,Richard Marshall,SD,0
2014,DEF,Keshawn Martin,Hou,0
2014,DEF,Marcus Martin,SF,0
2014,DEF,Mike Martin,Ten,0
2014,DEF,Eric Martin,Cle,0
2014,DEF,Jonathan Martin,SF,0
2014,DEF,Josh Martin,KC,0.5
2014,DEF,Kareem Martin,Ari,1
2014,DEF,Tre Mason,Stl,0
2014,DEF,Jonathan Massaquoi,Atl,2
2014,DEF,Bobby Massie,Ari,0
2014,DEF,Ricardo Mathews,SD,1.5
2014,DEF,Evan Mathis,Phi,0
2014,DEF,Jake Matthews,Atl,0
2014,DEF,Casey Matthews,Phi,1.5
2014,DEF,Chris Matthews,Sea,0
2014,DEF,Cliff Matthews,Atl,0
2014,DEF,Rishard Matthews,Mia,0
2014,DEF,Josh Mauga,KC,0.5
2014,DEF,Josh Mauro,Ari,0
2014,DEF,Michael Mauti,Min,0
2014,DEF,Jerod Mayo,NE,1
2014,DEF,Benson Mayowa,Oak,1
2014,DEF,Joe Mays,KC,0
2014,DEF,Taylor Mays,Cin,1
2014,DEF,Pat McAfee,Ind,0
2014,DEF,Chris McCain,Mia,1
2014,DEF,Terrell McClain,Dal,1
2014,DEF,Jameel McClain,NYG,2.5
2014,DEF,Albert McClellan,Bal,0
2014,DEF,Shea McClellin,Chi,1
2014,DEF,Josh McCown,TB,0
2014,DEF,LeSean McCoy,Phi,0
2014,DEF,Gerald McCoy,TB,8.5
2014,DEF,Danny McCray,Chi,0
2014,DEF,Demetrius McCray,Jax,0
2014,DEF,Kelcie McCray,KC,0
2014,DEF,L.J. McCray,SF,0
2014,DEF,Lerentee McCray,Den,1
2014,DEF,Daniel McCullers,Pit,0
2014,DEF,Tony McDaniel,Sea,0
2014,DEF,Dewey McDonald,Ind,0
2014,DEF,Nick McDonald,Cle,0
2014,DEF,Ray McDonald,SF,3
2014,DEF,Vance McDonald,SF,0
2014,DEF,Leon McFadden,SF,0
2014,DEF,Marshall McFadden,Stl,0
2014,DEF,Darren McFadden,Oak,0
2014,DEF,Brandon McGee,Stl,0
2014,DEF,Stacy McGee,Oak,0
2014,DEF,Keith McGill,Oak,0
2014,DEF,Matt McGloin,Oak,0
2014,DEF,Michael McGlynn,KC,0
2014,DEF,Jerick McKinnon,Min,0
2014,DEF,Joe McKnight,KC,0
2014,DEF,Steve McLendon,Pit,1
2014,DEF,Sherrick McManis,Chi,0
2014,DEF,Josh McNary,Ind,0.5
2014,DEF,Pernell McPhee,Bal,7.5
2014,DEF,Jake McQuaide,Stl,0
2014,DEF,Robert Meachem,NO,0
2014,DEF,Steven Means,TB,0
2014,DEF,Brandon Mebane,Sea,1
2014,DEF,Jamie Meder,Cle,0
2014,DEF,Henry Melton,Dal,5
2014,DEF,Rashaan Melvin,Bal,0
2014,DEF,Whitney Mercilus,Hou,5
2014,DEF,Brandon Meriweather,Was,3
2014,DEF,Jack Mewhort,Ind,0
2014,DEF,Bruce Miller,SF,0
2014,DEF,Gabe Miller,Was,0
2014,DEF,Heath Miller,Pit,0
2014,DEF,Roy Miller,Jax,1
2014,DEF,Lamar Miller,Mia,0
2014,DEF,Von Miller,Den,14
2014,DEF,Dee Milliner,NYJ,0
2014,DEF,Jordan Mills,Chi,0
2014,DEF,Jeremy Mincey,Dal,6
2014,DEF,Barkevious Mingo,Cle,2
2014,DEF,Chase Minnifield,Was,0
2014,DEF,Kevin Minter,Ari,1
2014,DEF,Koa Misi,Mia,1
2014,DEF,Earl Mitchell,Mia,2
2014,DEF,Michael Mitchell,Pit,0
2014,DEF,Arthur Moats,Pit,4
2014,DEF,Dontay Moch,Ten,0
2014,DEF,Donte Moncrief,Ind,0
2014,DEF,Nick Moody,SF,0
2014,DEF,Sterling Moore,Dal,0
2014,DEF,Sio Moore,Oak,3
2014,DEF,Zach Moore,NE,0.5
2014,DEF,Damontre Moore,NYG,5.5
2014,DEF,Marlon Moore,Cle,0
2014,DEF,William Moore,Atl,0
2014,DEF,Josh Morgan,Chi,0
2014,DEF,Derrick Morgan,Ten,6.5
2014,DEF,Michael Morgan,Sea,0
2014,DEF,Joseph Morgan,NO,0
2014,DEF,Alfred Morris,Was,0
2014,DEF,Thomas Morstead,NO,0
2014,DEF,Morgan Moses,Was,0
2014,DEF,Brandon Mosley,NYG,0
2014,DEF,C.J. Mosley,Det,2.5
2014,DEF,Henoc Muamba,Ind,0
2014,DEF,Andy Mulumba,GB,0
2014,DEF,Louis Murphy,TB,0
2014,DEF,Trent Murphy,Was,2.5
2014,DEF,Latavius Murray,Oak,0
2014,DEF,DeMarco Murray,Dal,0
2014,DEF,Chris Myers,Hou,0
2014,DEF,Mike Neal,GB,4.5
2014,DEF,Corey Nelson,Den,0
2014,DEF,David Nelson,NYJ,0
2014,DEF,Jordy Nelson,GB,0
2014,DEF,Kyle Nelson,SF,0
2014,DEF,Marshall Newhouse,Cin,0
2014,DEF,Jonathan Newsome,Ind,6.5
2014,DEF,Cam Newton,Car,0
2014,DEF,Troy Niklas,Ari,0
2014,DEF,Andrew Norwell,Car,0
2014,DEF,Kevin Norwood,Sea,0
2014,DEF,Mike Nugent,Cin,0
2014,DEF,Pat O'Donnell,Chi,0
2014,DEF,Jared Odrick,Mia,1
2014,DEF,Kevin Ogletree,NYG,0
2014,DEF,Kenny Okoro,Was,0
2014,DEF,Russell Okung,Sea,0
2014,DEF,Michael Ola,Chi,0
2014,DEF,Jamize Olawale,Oak,0
2014,DEF,Branden Oliver,SD,0
2014,DEF,Greg Olsen,Car,0
2014,DEF,Patrick Omameh,TB,0
2014,DEF,Brian Orakpo,Was,0.5
2014,DEF,Zach Orr,Bal,0
2014,DEF,Kassim Osgood,SF,0
2014,DEF,Matt Overton,Ind,0
2014,DEF,Chris Owens,KC,0.5
2014,DEF,Montell Owens,Det,0
2014,DEF,Calvin Pace,NYJ,5
2014,DEF,Stephen Paea,Chi,6
2014,DEF,Jeoffrey Pagan,Hou,0
2014,DEF,Tenny Palepoi,SD,0
2014,DEF,Michael Palmer,Pit,0
2014,DEF,Ashlee Palmer,Det,1.5
2014,DEF,Carson Palmer,Ari,0
2014,DEF,Preston Parker,NYG,0
2014,DEF,Cody Parkey,Phi,0
2014,DEF,Mike Patterson,NYG,0
2014,DEF,Niles Paul,Was,0
2014,DEF,Logan Paulsen,Was,0
2014,DEF,Spencer Paysinger,NYG,0
2014,DEF,Cedric Peerman,Cin,0
2014,DEF,Domata Peko,Cin,1
2014,DEF,Donald Penn,Oak,0
2014,DEF,Mike Pennel,GB,0
2014,DEF,Senorise Perry,Chi,0
2014,DEF,Nick Perry,GB,3
2014,DEF,Corey Peters,Atl,2
2014,DEF,Brandon Pettigrew,Det,0
2014,DEF,Adrian Phillips,SD,0
2014,DEF,John Phillips,SD,0
2014,DEF,Shaun Phillips,Ten,2
2014,DEF,Ryan Pickett,Hou,0
2014,DEF,Bernard Pierce,Bal,0
2014,DEF,Kevin Pierre-Louis,Sea,0
2014,DEF,Jason Pierre-Paul,NYG,12.5
2014,DEF,Ropati Pitoitua,Ten,2
2014,DEF,Eddie Pleasant,Hou,0
2014,DEF,Dontari Poe,KC,6
2014,DEF,Troy Polamalu,Pit,0
2014,DEF,Chris Polk,Phi,0
2014,DEF,Bernard Pollard,Ten,1
2014,DEF,Tyler Polumbus,Was,0
2014,DEF,Christian Ponder,Min,0
2014,DEF,Tracy Porter,Was,0
2014,DEF,Paul Posluszny,Jax,2
2014,DEF,Maurkice Pouncey,Pit,0
2014,DEF,Jerrell Powe,Hou,0
2014,DEF,Ty Powell,Buf,1
2014,DEF,Bilal Powell,NYJ,0
2014,DEF,Ronald Powell,NO,0
2014,DEF,Jordan Poyer,Cle,0
2014,DEF,Shaun Prater,Min,0
2014,DEF,De'Andre Presley,Car,0
2014,DEF,Jabari Price,Min,0
2014,DEF,Josh Price-Brent,Dal,0
2014,DEF,Jay Prosch,Hou,0
2014,DEF,Chris Prosinski,Phi,0
2014,DEF,Calvin Pryor,NYJ,0.5
2014,DEF,Justin Pugh,NYG,0
2014,DEF,Mike Purcell,SF,0
2014,DEF,Tanner Purdum,NYJ,0
2014,DEF,Loucheiz Purifoy,Ind,0
2014,DEF,Kelcy Quarles,Ind,1
2014,DEF,Brian Quick,Stl,0
2014,DEF,Robert Quinn,Stl,10.5
2014,DEF,Bobby Rainey,TB,0
2014,DEF,Manuel Ramirez,Den,0
2014,DEF,Joseph Randle,Dal,0
2014,DEF,Rueben Randle,NYG,0
2014,DEF,Jay Ratliff,Chi,6.5
2014,DEF,Silas Redd,Was,0
2014,DEF,Kevin Reddick,SD,0
2014,DEF,Cory Redding,Ind,3.5
2014,DEF,Marcel Reece,Oak,0
2014,DEF,Jordan Reed,Was,0
2014,DEF,Caraun Reid,Det,0
2014,DEF,Trevor Reilly,NYJ,0
2014,DEF,Vincent Rey,Cin,0
2014,DEF,Kendall Reyes,SD,1
2014,DEF,Chase Reynolds,Stl,0
2014,DEF,Dallas Reynolds,NYG,0
2014,DEF,LaRoy Reynolds,Jax,0
2014,DEF,Paul Richardson,Sea,0
2014,DEF,Sean Richardson,GB,0
2014,DEF,Sheldon Richardson,NYJ,8
2014,DEF,Trent Richardson,Ind,0
2014,DEF,Theo Riddick,Det,0
2014,DEF,Perry Riley,Was,2
2014,DEF,Mychal Rivera,Oak,0
2014,DEF,Keith Rivers,Buf,0
2014,DEF,Andre Roberts,Was,0
2014,DEF,Travian Robertson,Sea,0
2014,DEF,Nickell Robey,Buf,1
2014,DEF,Greg Robinson,Stl,0
2014,DEF,Luther Robinson,GB,0
2014,DEF,Adrien Robinson,NYG,0
2014,DEF,Allen Robinson,Jax,0
2014,DEF,Denard Robinson,Jax,0
2014,DEF,Brian Robison,Min,4.5
2014,DEF,Courtney Roby,Atl,0
2014,DEF,Aaron Rodgers,GB,0
2014,DEF,Jacquizz Rodgers,Atl,0
2014,DEF,Richard Rodgers,GB,0
2014,DEF,Carlos Rogers,Oak,0
2014,DEF,Justin Rogers,Was,0
2014,DEF,Tony Romo,Dal,0
2014,DEF,Lowell Rose,Mia,0
2014,DEF,Jeremy Ross,Det,0
2014,DEF,Eddie Royal,SD,0
2014,DEF,Ahtyba Rubin,Cle,1
2014,DEF,Frostee Rucker,Ari,5
2014,DEF,Rodger Saffold,Stl,0
2014,DEF,Greg Salas,NYJ,0
2014,DEF,Garrison Sanborn,Buf,0
2014,DEF,Emmanuel Sanders,Den,0
2014,DEF,Jamarca Sanford,Was,0
2014,DEF,Bishop Sankey,Ten,0
2014,DEF,Cairo Santos,KC,0
2014,DEF,Mohamed Sanu,Cin,0
2014,DEF,Ricky Sapp,Hou,0
2014,DEF,Samson Satele,Mia,0
2014,DEF,Jalen Saunders,NYJ,0
2014,DEF,Colton Schmidt,Buf,0
2014,DEF,O'Brien Schofield,Sea,2
2014,DEF,Brian Schwenke,Ten,0
2014,DEF,Trevor Scott,Chi,0
2014,DEF,Greg Scruggs,Sea,0
2014,DEF,Austin Seferian-Jenkins,TB,0
2014,DEF,Mohammed Seisay,Det,0
2014,DEF,George Selvie,Dal,3
2014,DEF,Andrew Sendejo,Min,0
2014,DEF,Coty Sensabaugh,Ten,1
2014,DEF,Darryl Sharpton,Chi,0
2014,DEF,Matt Shaughnessy,Ari,0
2014,DEF,Ryan Shazier,Pit,0
2014,DEF,DeShawn Shead,Sea,0
2014,DEF,Jabaal Sheard,Cle,2
2014,DEF,Prince Shembo,Atl,0
2014,DEF,Russell Shepard,TB,0
2014,DEF,Kelvin Sheppard,Mia,0
2014,DEF,Marcus Sherels,Min,0
2014,DEF,Anthony Sherman,KC,0
2014,DEF,Kawann Short,Car,3.5
2014,DEF,Cecil Shorts,Jax,0
2014,DEF,Lawrence Sidbury,TB,0
2014,DEF,Sealver Siliga,NE,2.5
2014,DEF,John Simon,Hou,1.5
2014,DEF,Scott Simonson,Oak,0
2014,DEF,Eugene Sims,Stl,3
2014,DEF,Pat Sims,Oak,0
2014,DEF,Charles Sims,TB,0
2014,DEF,Deontae Skinner,NE,1
2014,DEF,Dan Skuta,SF,5
2014,DEF,Matt Slater,NE,0
2014,DEF,Matthew Slauson,Chi,0
2014,DEF,Quanterus Smith,Den,0
2014,DEF,Alex Smith,KC,0
2014,DEF,Rodney Smith,Cle,0
2014,DEF,Geno Smith,NYJ,0
2014,DEF,Alfonso Smith,SF,0
2014,DEF,Aldon Smith,SF,2
2014,DEF,Steve Smith,Bal,0
2014,DEF,Jacquies Smith,TB,6.5
2014,DEF,Antonio Smith,Oak,3
2014,DEF,Andre Smith,Cin,0
2014,DEF,Torrey Smith,Bal,0
2014,DEF,Justin Smith,SF,5
2014,DEF,Antone Smith,Atl,0
2014,DEF,Evan Smith,TB,0
2014,DEF,Malcolm Smith,Sea,0
2014,DEF,Brad Smith,Phi,0
2014,DEF,Keith Smith,Dal,0
2014,DEF,Chris Smith,Jax,3
2014,DEF,Nate Solder,NE,0
2014,DEF,Paul Soliai,Atl,1
2014,DEF,Scott Solomon,TB,2
2014,DEF,Daniel Sorensen,KC,0
2014,DEF,Matt Spaeth,Pit,0
2014,DEF,Akeem Spence,TB,3
2014,DEF,Sean Spence,Pit,1
2014,DEF,Anthony Spencer,Dal,0.5
2014,DEF,Brandon Spikes,Buf,1
2014,DEF,C.J. Spillman,Dal,0
2014,DEF,Darren Sproles,Phi,0
2014,DEF,Matthew Stafford,Det,0
2014,DEF,Joe Staley,SF,0
2014,DEF,Julian Stanford,Det,0
2014,DEF,Drew Stanton,Ari,0
2014,DEF,Justin Staples,Ten,0
2014,DEF,Randy Starks,Mia,4.5
2014,DEF,James Starks,GB,0
2014,DEF,Shamar Stephen,Min,0
2014,DEF,Jeremy Stewart,Den,0
2014,DEF,Jonathan Stewart,Car,0
2014,DEF,Devon Still,Cin,0
2014,DEF,Kenny Stills,NO,0
2014,DEF,Ed Stinson,Ari,0
2014,DEF,Luke Stocker,TB,0
2014,DEF,Bryan Stork,NE,0
2014,DEF,Rod Streater,Oak,0
2014,DEF,Tommy Streeter,Jax,0
2014,DEF,Darrell Stuckey,SD,0
2014,DEF,Andrew Studebaker,Ind,0
2014,DEF,Nathan Stupar,Atl,0
2014,DEF,Caleb Sturgis,Mia,0
2014,DEF,Ryan Succop,Ten,0
2014,DEF,Zach Sudfeld,NYJ,0
2014,DEF,Terrell Suggs,Bal,12
2014,DEF,Ndamukong Suh,Det,8.5
2014,DEF,Shaun Suisham,Pit,0
2014,DEF,Vinnie Sunseri,NO,0
2014,DEF,Will Sutton,Chi,0
2014,DEF,Will Svitek,Ten,0
2014,DEF,Travis Swanson,Det,0
2014,DEF,J.R. Sweezy,Sea,0
2014,DEF,Will Ta'ufo'ou,Jax,0
2014,DEF,Lorenzo Taliaferro,Bal,0
2014,DEF,Jacob Tamme,Den,0
2014,DEF,Ryan Tannehill,Mia,0
2014,DEF,Darryl Tapp,Det,0.5
2014,DEF,Jeff Tarpinian,Hou,0
2014,DEF,Brandon Tate,Cin,0
2014,DEF,Golden Tate,Det,0
2014,DEF,Jamar Taylor,Mia,0
2014,DEF,Phil Taylor,Cle,0
2014,DEF,Ryan Taylor,GB,0
2014,DEF,Tyrod Taylor,Bal,0
2014,DEF,Stepfan Taylor,Ari,0
2014,DEF,Devin Taylor,Det,1
2014,DEF,Ike Taylor,Pit,0
2014,DEF,Steven Terrell,Sea,0
2014,DEF,Adam Thielen,Min,0
2014,DEF,Michael Thomas,Mia,0
2014,DEF,Cam Thomas,Pit,0.5
2014,DEF,Phillip Thomas,Was,0
2014,DEF,Chase Thomas,SF,0
2014,DEF,Pierre Thomas,NO,0
2014,DEF,Demaryius Thomas,Den,0
2014,DEF,Shamarko Thomas,Pit,0
2014,DEF,Joe Thomas,Cle,0
2014,DEF,Josh Thomas,NYJ,0
2014,DEF,Julius Thomas,Den,0
2014,DEF,Brandon Thompson,Cin,1
2014,DEF,Taylor Thompson,Ten,0
2014,DEF,Hugh Thornton,Ind,0
2014,DEF,Cedric Thornton,Phi,1
2014,DEF,Neiko Thorpe,Oak,0
2014,DEF,Walter Thurmond,NYG,0
2014,DEF,Charles Tillman,Chi,0
2014,DEF,Lawrence Timmons,Pit,2
2014,DEF,Carson Tinker,Jax,0
2014,DEF,Zurlon Tipton,Ind,0
2014,DEF,Jordan Todman,Jax,0
2014,DEF,Levine Toilolo,Atl,0
2014,DEF,Mike Tolbert,Car,0
2014,DEF,Korey Toomer,Stl,0
2014,DEF,Nick Toon,NO,0
2014,DEF,Justin Trattou,Min,0
2014,DEF,Brynden Trawick,Bal,0
2014,DEF,Danny Trevathan,Den,0
2014,DEF,Jordan Tripp,Mia,0
2014,DEF,Stephon Tuitt,Pit,1
2014,DEF,Will Tukuafu,Sea,0
2014,DEF,Stephen Tulloch,Det,2
2014,DEF,Robert Turbin,Sea,0
2014,DEF,Brian Tyms,NE,0
2014,DEF,DeAngelo Tyson,Bal,1
2014,DEF,Osi Umenyiora,Atl,2.5
2014,DEF,Mitch Unrein,Den,0
2014,DEF,Courtney Upshaw,Bal,0
2014,DEF,John Urschel,Bal,0
2014,DEF,Kyle Van Noy,Det,0
2014,DEF,Fernando Velasco,Car,0
2014,DEF,Joe Vellano,NE,1
2014,DEF,Raymond Ventrone,SF,0
2014,DEF,Ross Ventrone,Pit,0
2014,DEF,Shane Vereen,NE,0
2014,DEF,Olivier Vernon,Mia,6.5
2014,DEF,Michael Vick,NYJ,0
2014,DEF,Kevin Vickerson,KC,0
2014,DEF,Lawrence Virgil,NO,0
2014,DEF,Bobby Wagner,Sea,2
2014,DEF,Cameron Wake,Mia,11.5
2014,DEF,Erik Walden,Ind,6
2014,DEF,Casey Walker,NE,1
2014,DEF,Delanie Walker,Ten,0
2014,DEF,Reggie Walker,SD,0.5
2014,DEF,Tyrunn Walker,NO,2.5
2014,DEF,Vance Walker,KC,2
2014,DEF,Mike Wallace,Mia,0
2014,DEF,Jimmie Ward,SF,0
2014,DEF,Larry Warford,Det,0
2014,DEF,Chance Warmack,Ten,0
2014,DEF,Greg Warren,Pit,0
2014,DEF,Nate Washington,Ten,0
2014,DEF,Cornelius Washington,Chi,1
2014,DEF,Leon Washington,Ten,0
2014,DEF,Jaylen Watkins,Phi,0
2014,DEF,Sammy Watkins,Buf,0
2014,DEF,Benjamin Watson,NO,0
2014,DEF,Dekoda Watson,Jax,0
2014,DEF,Menelik Watson,Oak,0
2014,DEF,Chris Watt,SD,0
2014,DEF,Trey Watts,Stl,0
2014,DEF,Brandon Watts,Min,0
2014,DEF,Tress Way,Was,0
2014,DEF,Reggie Wayne,Ind,0
2014,DEF,Steve Weatherford,NYG,0
2014,DEF,B.W. Webb,Pit,0
2014,DEF,Joe Webb,Car,0
2014,DEF,Kayvon Webster,Den,0
2014,DEF,Jonathan Weeks,Hou,0
2014,DEF,Eric Weems,Atl,0
2014,DEF,Wes Welker,Den,0
2014,DEF,Scott Wells,Stl,0
2014,DEF,Bjoern Werner,Ind,4
2014,DEF,Charcandrick West,KC,0
2014,DEF,Terrance West,Cle,0
2014,DEF,Ethan Westbrooks,Stl,0
2014,DEF,Griff Whalen,Ind,0
2014,DEF,Markus Wheaton,Pit,0
2014,DEF,Philip Wheeler,Mia,0
2014,DEF,Roddy White,Atl,0
2014,DEF,Chris White,NE,0
2014,DEF,Fozzy Whittaker,Car,0
2014,DEF,Kyle Wilber,Dal,1.5
2014,DEF,Muhammad Wilkerson,NYJ,6
2014,DEF,Terrance Williams,Dal,0
2014,DEF,K'Waun Williams,Cle,1
2014,DEF,Damien Williams,Mia,0
2014,DEF,Tourek Williams,SD,0
2014,DEF,Mario Williams,Buf,14.5
2014,DEF,D.J. Williams,Chi,0
2014,DEF,Andre Williams,NYG,0
2014,DEF,Trent Williams,Was,0
2014,DEF,Shawn Williams,Cin,0
2014,DEF,Ian Williams,SF,1
2014,DEF,Trevardo Williams,Was,1
2014,DEF,Jason Williams,Car,0
2014,DEF,Brandon Williams,Bal,0.5
2014,DEF,Vince Williams,Pit,0
2014,DEF,Steve Williams,SD,0
2014,DEF,Jacquian Williams,NYG,0
2014,DEF,Brandon Williams,Car,0
2014,DEF,Sylvester Williams,Den,0
2014,DEF,Kevin Williams,Sea,3
2014,DEF,Teddy Williams,Chi,0
2014,DEF,Dan Williams,Ari,1
2014,DEF,Avery Williamson,Ten,3
2014,DEF,Luke Willson,Sea,0
2014,DEF,C.J. Wilson,Oak,2
2014,DEF,C.J. Wilson,TB,0
2014,DEF,Kyle Wilson,NYJ,1
2014,DEF,Russell Wilson,Sea,0
2014,DEF,Tavon Wilson,NE,0
2014,DEF,Albert Wilson,KC,0
2014,DEF,Kamerion Wimbley,Ten,2
2014,DEF,Brad Wing,Pit,0
2014,DEF,George Winn,Det,0
2014,DEF,Stefen Wisniewski,Oak,0
2014,DEF,Jason Witten,Dal,0
2014,DEF,Derek Wolfe,Den,1.5
2014,DEF,Earl Wolff,Phi,0
2014,DEF,Eric Wood,Buf,0
2014,DEF,Danny Woodhead,SD,0
2014,DEF,LaMarr Woodley,Oak,0
2014,DEF,Al Woods,Ten,1
2014,DEF,Robert Woods,Buf,0
2014,DEF,Corey Wootton,Min,1
2014,DEF,Paul Worrilow,Atl,2
2014,DEF,Major Wright,TB,0
2014,DEF,Jarius Wright,Min,0
2014,DEF,K.J. Wright,Sea,2
2014,DEF,Kendall Wright,Ten,0
2014,DEF,James Wright,Cin,0
2014,DEF,Shareece Wright,SD,0
2014,DEF,Jarius Wynn,Buf,2
2014,DEF,Usama Young,Oak,1
2014,DEF,Darrel Young,Was,0
2014,DEF,Willie Young,Chi,10
2014,DEF,Christian Yount,Cle,0
2014,DEF,Frank Zombo,KC,0
2014,DEF,Greg Zuerlein,Stl,0
2013,DEF,Richard Sherman,Sea,0
2013,DEF,Antrel Rolle,NYG,2
2013,DEF,DeAndre Levy,Det,0
2013,DEF,Brandon Boykin,Phi,0
2013,DEF,Earl Thomas,Sea,0
2013,DEF,Alterraun Verner,Ten,0
2013,DEF,Tramaine Brock,SF,0
2013,DEF,Logan Ryan,NE,1.5
2013,DEF,Lavonte David,TB,7
2013,DEF,Tashaun Gipson,Cle,0
2013,DEF,Sam Shields,GB,0
2013,DEF,Byron Maxwell,Sea,0
2013,DEF,Dimitri Patterson,Mia,1
2013,DEF,Aqib Talib,NE,0
2013,DEF,Corey Graham,Bal,1
2013,DEF,Luke Kuechly,Car,2
2013,DEF,Keenan Lewis,NO,0
2013,DEF,Kiko Alonso,Buf,2
2013,DEF,Aaron Williams,Buf,0
2013,DEF,Karlos Dansby,Ari,6.5
2013,DEF,DeAngelo Hall,Was,0
2013,DEF,Eric Reid,SF,0
2013,DEF,Joe Haden,Cle,0
2013,DEF,Quintin Demps,KC,0
2013,DEF,Michael Mitchell,Car,3.5
2013,DEF,Jim Leonhard,Buf,0
2013,DEF,Darius Butler,Ind,0
2013,DEF,Jairus Byrd,Buf,1
2013,DEF,Brent Grimes,Mia,0
2013,DEF,Tim Jennings,Chi,0
2013,DEF,Sean Lee,Dal,0
2013,DEF,Chris Harris,Den,0
2013,DEF,Robert Lester,Car,0
2013,DEF,Cassius Vaughn,Ind,0
2013,DEF,Tramon Williams,GB,2.5
2013,DEF,Cary Williams,Phi,1
2013,DEF,Antonio Cromartie,NYJ,0
2013,DEF,Dre Kirkpatrick,Cin,1
2013,DEF,Chad Greenway,Min,3
2013,DEF,Nolan Carroll,Mia,2
2013,DEF,Mychal Kendricks,Phi,4
2013,DEF,Danny Trevathan,Den,2
2013,DEF,Dee Milliner,NYJ,0
2013,DEF,Marcus Cooper,KC,0
2013,DEF,Johnthan Banks,TB,0
2013,DEF,Rashad Johnson,Ari,0
2013,DEF,Trumaine Johnson,Stl,0
2013,DEF,William Moore,Atl,2
2013,DEF,Bernard Pollard,Ten,0.5
2013,DEF,Daryl Smith,Bal,5
2013,DEF,Keith Tandy,TB,0
2013,DEF,Louis Delmas,Det,2
2013,DEF,Christopher Conte,Chi,0
2013,DEF,Brandon Carr,Dal,0
2013,DEF,Ed Reed,Hou,0
2013,DEF,James Ihedigbo,Bal,0
2013,DEF,Glover Quin,Det,2
2013,DEF,Patrick Peterson,Ari,0
2013,DEF,Adam Jones,Cin,0
2013,DEF,Johnathan Joseph,Hou,0
2013,DEF,Zack Bowman,Chi,0
2013,DEF,Charles Tillman,Chi,0
2013,DEF,Dominique Rodgers-Cromartie,Den,0
2013,DEF,Kam Chancellor,Sea,0
2013,DEF,Mason Foster,TB,2
2013,DEF,Eric Berry,KC,3.5
2013,DEF,Thomas Davis,Car,4
2013,DEF,Robert Alford,Atl,0
2013,DEF,Stephon Gilmore,Buf,0
2013,DEF,Mike Jenkins,Oak,0
2013,DEF,Reggie Nelson,Cin,1
2013,DEF,Orlando Scandrick,Dal,2
2013,DEF,Jimmy Smith,Bal,0
2013,DEF,Desmond Trufant,Atl,0
2013,DEF,Rodney McLeod,Stl,0
2013,DEF,Mark Barron,TB,2
2013,DEF,Darrelle Revis,TB,1
2013,DEF,Harrison Smith,Min,0
2013,DEF,Yeremiah Bell,Ari,1
2013,DEF,Tyrann Mathieu,Ari,1
