Year,Round,Pick #,Manager,Player,Team,POS,,,
2016,14,167,Mike,Chandler Catanzaro,NYJ,K,,,
2016,14,168,Chaz,Sammie Coates,Pit,WR,,,
2015,1,1,Rob,Adrian Peterson,NO,RB,,,
2015,1,2,Cory,Le'Veon Bell,Pit,RB,,,
2015,1,3,Ty,Jamaal Charles,Den,RB,,,
2015,1,4,Jay,Eddie Lacy,Sea,RB,,,
2015,1,5,Kevin,Antonio Brown,Pit,WR,,,
2015,1,6,Mike,Dez Bryant,Dal,WR,,,
2015,1,7,Trev,Marshawn Lynch,Oak,RB,,,
2015,1,8,Zach,Demaryius Thomas,Den,WR,,,
2015,1,9,Chaz,DeMarco Murray,Ten,RB,,,
2015,1,10,Sammy,Odell Beckham Jr.,NYG,WR,,,
2015,1,11,Fred,Aaron Rodgers,GB,QB,,,
2015,1,12,Sean,Rob Gronkowski,NE,TE,,,
2015,2,13,Sean,LeGarrette Blount,NE,RB,,,
2015,2,14,Fred,Mike Evans,TB,WR,,,
2015,2,15,Sammy,Jordy Nelson,GB,WR,,,
2015,2,16,Chaz,Randall Cobb,GB,WR,,,
2015,2,17,Zach,Julio Jones,Atl,WR,,,
2015,2,18,Trev,LeSean McCoy,Buf,RB,,,
2015,2,19,Mike,Andrew Luck,Ind,QB,,,
2015,2,20,Kevin,Matt Forte,NYJ,RB,,,
2015,2,21,Jay,C.J. Anderson,Den,RB,,,
2015,2,22,Ty,Calvin Johnson,Det,WR,,,
2015,2,23,Cory,A.J. Green,Cin,WR,,,
2015,2,24,Rob,Jeremy Hill,Cin,RB,,,
2015,3,25,Rob,Jimmy Graham,Sea,TE,,,
2015,3,26,Cory,Justin Forsett,Den,RB,,,
2015,3,27,Ty,Emmanuel Sanders,Den,WR,,,
2015,3,28,Jay,Alshon Jeffery,Phi,WR,,,
2015,3,29,Kevin,Alfred Morris,Dal,RB,,,
2015,3,30,Mike,DeAndre Hopkins,Hou,WR,,,
2015,3,31,Trev,Andre Johnson,Hou,WR,,,
2015,3,32,Zach,Melvin Gordon,LAC,RB,,,
2015,3,33,Chaz,Lamar Miller,Hou,RB,,,
2015,3,34,Sammy,Mark Ingram,NO,RB,,,
2015,3,35,Fred,T.Y. Hilton,Ind,WR,,,
2015,3,36,Sean,Julian Edelman,NE,WR,,,
2015,4,37,Sean,Tom Brady,NE,QB,,,
2015,4,38,Fred,Jordan Matthews,Phi,WR,,,
2015,4,39,Sammy,Martavis Bryant,Pit,WR,,,
2015,4,40,Chaz,Brandin Cooks,NE,WR,,,
2015,4,41,Zach,Carlos Hyde,SF,RB,,,
2015,4,42,Trev,Peyton Manning,Den,QB,,,
2015,4,43,Mike,Frank Gore,Ind,RB,,,
2015,4,44,Kevin,Golden Tate,Det,WR,,,
2015,4,45,Jay,Allen Robinson,Jax,WR,,,
2015,4,46,Ty,Keenan Allen,LAC,WR,,,
2015,4,47,Cory,DeSean Jackson,TB,WR,,,
2015,4,48,Rob,Amari Cooper,Oak,WR,,,
2015,5,49,Rob,Nelson Agholor,Phi,WR,,,
2015,5,50,Cory,Jonathan Stewart,Car,RB,,,
2015,5,51,Ty,Latavius Murray,Min,RB,,,
2015,5,52,Jay,Travis Kelce,KC,TE,,,
2015,5,53,Kevin,Brandon Marshall,NYG,WR,,,
2015,5,54,Mike,Ameer Abdullah,Det,RB,,,
2015,5,55,Trev,Jeremy Maclin,KC,WR,,,
2015,5,56,Zach,Vincent Jackson,TB,WR,,,
2015,5,57,Chaz,Charles Johnson,Car,WR,,,
2015,5,58,Sammy,Todd Gurley,LAR,RB,,,
2015,5,59,Fred,Joseph Randle,Dal,RB,,,
2015,5,60,Sean,Brandon LaFell,Cin,WR,,,
2015,6,61,Sean,Jonas Gray,Jax,RB,,,
2015,6,62,Fred,Greg Olsen,Car,TE,,,
2015,6,63,Sammy,Andre Ellington,Ari,RB,,,
2015,6,64,Chaz,C.J. Spiller,KC,RB,,,
2015,6,65,Zach,Victor Cruz,NYG,WR,,,
2015,6,66,Trev,Martellus Bennett,GB,TE,,,
2015,6,67,Mike,Arian Foster,Mia,RB,,,
2015,6,68,Kevin,Mike Wallace,Bal,WR,,,
2015,6,69,Jay,Ben Roethlisberger,Pit,QB,,,
2015,6,70,Ty,Russell Wilson,Sea,QB,,,
2015,6,71,Cory,Sammy Watkins,Buf,WR,,,
2015,6,72,Rob,Steve Smith Sr.,Bal,WR,,,
2015,7,73,Rob,Tony Romo,Dal,QB,,,
2015,7,74,Cory,Zach Ertz,Phi,TE,,,
2015,7,75,Ty,Seattle,Sea,DEF,,,
2015,7,76,Jay,T.J. Yeldon,Jax,RB,,,
2015,7,77,Kevin,Rashad Jennings,NYG,RB,,,
2015,7,78,Mike,Roddy White,Atl,WR,,,
2015,7,79,Trev,Jarvis Landry,Mia,WR,,,
2015,7,80,Zach,Matt Ryan,Atl,QB,,,
2015,7,81,Chaz,Larry Fitzgerald,Ari,WR,,,
2015,7,82,Sammy,Drew Brees,NO,QB,,,
2015,7,83,Fred,Joique Bell,Det,RB,,,
2015,7,84,Sean,New England,NE,DEF,,,
2015,8,85,Sean,Stephen Gostkowski,NE,K,,,
2015,8,86,Fred,Doug Martin,TB,RB,,,
2015,8,87,Sammy,Jordan Cameron,Mia,TE,,,
2015,8,88,Chaz,Jason Witten,Dal,TE,,,
2015,8,89,Zach,Alfred Blue,Hou,RB,,,
2015,8,90,Trev,Houston,Hou,DEF,,,
2015,8,91,Mike,Eric Decker,NYJ,WR,,,
2015,8,92,Kevin,Michael Floyd,Min,WR,,,
2015,8,93,Jay,Davante Adams,GB,WR,,,
2015,8,94,Ty,Chris Ivory,Jax,RB,,,
2015,8,95,Cory,John Brown,Ari,WR,,,
2015,8,96,Rob,Ryan Mathews,Phi,RB,,,
2015,9,97,Rob,Anquan Boldin,Det,WR,,,
2015,9,98,Cory,Shane Vereen,NYG,RB,,,
2015,9,99,Ty,Delanie Walker,Ten,TE,,,
2015,9,100,Jay,Pierre Garcon,SF,WR,,,
2015,9,101,Kevin,Eli Manning,NYG,QB,,,
2015,9,102,Mike,Giovani Bernard,Cin,RB,,,
2015,9,103,Trev,Isaiah Crowell,Cle,RB,,,
2015,9,104,Zach,Julius Thomas,Mia,TE,,,
2015,9,105,Chaz,Matthew Stafford,Det,QB,,,
2015,9,106,Sammy,Torrey Smith,Phi,WR,,,
2015,9,107,Fred,Darren McFadden,Dal,RB,,,
2015,9,108,Sean,Danny Amendola,NE,WR,,,
2015,10,109,Sean,James White,NE,RB,,,
2015,10,110,Fred,Kendall Wright,Chi,WR,,,
2015,10,111,Sammy,Tre Mason,LAR,RB,,,
2015,10,112,Chaz,Devonta Freeman,Atl,RB,,,
2015,10,113,Zach,Philadelphia,Phi,DEF,,,
2015,10,114,Trev,Eddie Royal,Chi,WR,,,
2015,10,115,Mike,Devin Funchess,Car,WR,,,
2015,10,116,Kevin,Reggie Bush,Buf,RB,,,
2015,10,117,Jay,Buffalo,Buf,DEF,,,
2015,10,118,Ty,Marques Colston,NO,WR,,,
2015,10,119,Cory,Cam Newton,Car,QB,,,
2015,10,120,Rob,Kenny Stills,Mia,WR,,,
2015,11,121,Rob,Cody Latimer,Den,WR,,,
2015,11,122,Cory,Mohamed Sanu,Atl,WR,,,
2015,11,123,Ty,Bishop Sankey,Min,RB,,,
2015,11,124,Jay,Breshad Perriman,Bal,WR,,,
2015,11,125,Kevin,Darren Sproles,Phi,RB,,,
2015,11,126,Mike,Tevin Coleman,Atl,RB,,,
2015,11,127,Trev,Knile Davis,Pit,RB,,,
2015,11,128,Zach,Terrance Williams,Dal,WR,,,
2015,11,129,Chaz,Adam Vinatieri,Ind,K,,,
2015,11,130,Sammy,Los Angeles,LAR,DEF,,,
2015,11,131,Fred,Charles Sims,TB,RB,,,
2015,11,132,Sean,Brandon Bolden,NE,RB,,,
2015,12,133,Sean,Jimmy Garoppolo,NE,QB,,,
2015,12,134,Fred,Markus Wheaton,Chi,WR,,,
2015,12,135,Sammy,Steven Hauschka,Buf,K,,,
2015,12,136,Chaz,David Cobb,Chi,RB,,,
2015,12,137,Zach,Dan Bailey,Dal,K,,,
2015,12,138,Trev,Michael Crabtree,Oak,WR,,,
2015,12,139,Mike,Dwayne Allen,NE,TE,,,
2015,12,140,Kevin,Owen Daniels,Den,TE,,,
2015,12,141,Jay,DeAngelo Williams,Pit,RB,,,
2015,12,142,Ty,Marvin Jones Jr.,Det,WR,,,
2015,12,143,Cory,Ronnie Hillman,LAC,RB,,,
2015,12,144,Rob,Arizona,Ari,DEF,,,
2015,13,145,Rob,Mason Crosby,GB,K,,,
2015,13,146,Cory,Sam Bradford,Min,QB,,,
2015,13,147,Ty,Kyle Rudolph,Min,TE,,,
2015,13,148,Jay,Connor Barth,Chi,K,,,
2015,13,149,Kevin,Ryan Tannehill,Mia,QB,,,
2015,13,150,Mike,Stevie Johnson,LAC,WR,,,
2015,13,151,Trev,Fred Jackson,Sea,RB,,,
2015,13,152,Zach,Philip Rivers,LAC,QB,,,
2015,13,153,Chaz,Marcus Mariota,Ten,QB,,,
2015,13,154,Sammy,Brian Quick,Was,WR,,,
2015,13,155,Fred,Danny Woodhead,Bal,RB,,,
2015,13,156,Sean,Scott Chandler,NE,TE,,,
2015,14,157,Sean,Fred Davis,NE,TE,,,
2015,14,158,Fred,James Starks,GB,RB,,,
2015,14,159,Sammy,Colin Kaepernick,SF,QB,,,
2015,14,160,Chaz,New York,NYJ,DEF,,,
2015,14,161,Zach,Duke Johnson Jr.,Cle,RB,,,
2015,14,162,Trev,Doug Baldwin,Sea,WR,,,
2015,14,163,Mike,Daniel Herron,Buf,RB,,,
2015,14,164,Kevin,Andrew Hawkins,Cle,WR,,,
2015,14,165,Jay,Jameis Winston,TB,QB,,,
2015,14,166,Ty,Blair Walsh,Sea,K,,,
2015,14,167,Cory,Justin Tucker,Bal,K,,,
2015,14,168,Rob,Matt Asiata,Min,RB,,,
